filename,purpose,view,dimensions_or_viewBox,anchor_point,source_creator,license,status
exports/world/paved-plaza-tilted.svg,paved plaza tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/paved-plaza-top.svg,paved plaza top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/river-edge-tilted.svg,river edge tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/river-edge-top.svg,river edge top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/river-water-tilted.svg,river water tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/river-water-top.svg,river water top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/road-corner-tilted.svg,road corner tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/road-corner-top.svg,road corner top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/road-intersection-tilted.svg,road intersection tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/road-intersection-top.svg,road intersection top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/road-straight-tilted.svg,road straight tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/road-straight-top.svg,road straight top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/shadow-canopy-tilted.svg,shadow canopy tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/shadow-canopy-top.svg,shadow canopy top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/shadow-furniture-tilted.svg,shadow furniture tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/shadow-furniture-top.svg,shadow furniture top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/shrub-01-tilted.svg,shrub 01 tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/shrub-01-top.svg,shrub 01 top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/shrub-02-tilted.svg,shrub 02 tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/shrub-02-top.svg,shrub 02 top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/sidewalk-tilted.svg,sidewalk tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/sidewalk-top.svg,sidewalk top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/streetlight-tilted.svg,streetlight tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/streetlight-top.svg,streetlight top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/tree-01-tilted.svg,tree 01 tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/tree-01-top.svg,tree 01 top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/tree-02-tilted.svg,tree 02 tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/tree-02-top.svg,tree 02 top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/tree-03-tilted.svg,tree 03 tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
exports/world/tree-03-top.svg,tree 03 top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/characters/citizen-01-source.png,citizen 01 source,both,1247x1261,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/characters/citizen-02-source.png,citizen 02 source,both,1206x1304,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/characters/citizen-03-source.png,citizen 03 source,both,1145x1374,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/characters/emergency-source.png,emergency source,both,1214x1295,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/characters/maintenance-source.png,maintenance source,both,1374x1145,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/characters/mayor-source.png,mayor source,both,1221x1289,"64,124 per 128px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/better-transit.svg,better transit,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/citizen-calm.svg,citizen calm,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/citizen-cheer.svg,citizen cheer,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/citizen-concerned.svg,citizen concerned,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/cleaner-air.svg,cleaner air,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/clinic-access.svg,clinic access,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/connection-path.svg,connection path,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/critical-warning.svg,critical warning,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/effects.css,effects,both,n/a,n/a,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/finish-higher.svg,finish higher,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/finish-restrained.svg,finish restrained,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/greenery-improved.svg,greenery improved,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/negative-tradeoff.svg,negative tradeoff,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/placement-pulse.svg,placement pulse,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/positive-improvement.svg,positive improvement,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/safer-roads.svg,safer roads,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/school-access.svg,school access,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/effects/utilities-improved.svg,utilities improved,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/category-city-services.svg,category city services,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/category-ecology.svg,category ecology,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/category-safety.svg,category safety,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/category-social-services.svg,category social services,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/category-transport.svg,category transport,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-budget.svg,hud budget,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-compare.svg,hud compare,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-critical.svg,hud critical,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-info.svg,hud info,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-locked.svg,hud locked,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-pause.svg,hud pause,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-play.svg,hud play,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-quarter.svg,hud quarter,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-score.svg,hud score,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-selected.svg,hud selected,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-skip.svg,hud skip,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-sound-off.svg,hud sound off,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-sound-on.svg,hud sound on,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-synergy.svg,hud synergy,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-turn.svg,hud turn,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-undo.svg,hud undo,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/hud-warning.svg,hud warning,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/indicator-B1-lighting.svg,indicator B1 lighting,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/indicator-B2-crossing.svg,indicator B2 crossing,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/indicator-C1-utilities.svg,indicator C1 utilities,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/indicator-C2-requests.svg,indicator C2 requests,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/indicator-E1-greenery.svg,indicator E1 greenery,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/indicator-E2-air.svg,indicator E2 air,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/indicator-S1-education.svg,indicator S1 education,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/indicator-S2-health.svg,indicator S2 health,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/indicator-T1-traffic.svg,indicator T1 traffic,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/indicator-T2-transit.svg,indicator T2 transit,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/logo-app.svg,logo app,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/map-bus.svg,map bus,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/map-citizen.svg,map citizen,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/map-citywide.svg,map citywide,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/map-district.svg,map district,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/map-lrt.svg,map lrt,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/map-road.svg,map road,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/icons/map-transport.svg,map transport,both,0 0 32 32,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/map/MAP-REFERENCE.svg,MAP REFERENCE,both,0 0 1280 900,center,Original source-status layout; facts: gov.kz 2026 district-area notice; no boundary vector,Project-owned; redistribution license not specified,unverified
sources/policies/M01-M07/M01-tilted-object.svg,M01 tilted object,tilted,0 0 160 120,"80,110 (M01-M07); see local manifest for M08-M14",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M01-ui-icon.svg,M01 ui icon,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M01-world-marker.svg,M01 world marker,both,0 0 64 80,"32,77",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M02-tilted-object.svg,M02 tilted object,tilted,0 0 160 120,"80,110 (M01-M07); see local manifest for M08-M14",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M02-ui-icon.svg,M02 ui icon,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M02-world-marker.svg,M02 world marker,both,0 0 64 80,"32,77",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M03-tilted-object.svg,M03 tilted object,tilted,0 0 160 120,"80,110 (M01-M07); see local manifest for M08-M14",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M03-ui-icon.svg,M03 ui icon,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M03-world-marker.svg,M03 world marker,both,0 0 64 80,"32,77",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M04-tilted-object.svg,M04 tilted object,tilted,0 0 160 120,"80,110 (M01-M07); see local manifest for M08-M14",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M04-ui-icon.svg,M04 ui icon,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M04-world-marker.svg,M04 world marker,both,0 0 64 80,"32,77",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M05-tilted-object.svg,M05 tilted object,tilted,0 0 160 120,"80,110 (M01-M07); see local manifest for M08-M14",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M05-ui-icon.svg,M05 ui icon,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M05-world-marker.svg,M05 world marker,both,0 0 64 80,"32,77",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M06-tilted-object.svg,M06 tilted object,tilted,0 0 160 120,"80,110 (M01-M07); see local manifest for M08-M14",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M06-ui-icon.svg,M06 ui icon,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M06-world-marker.svg,M06 world marker,both,0 0 64 80,"32,77",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M07-tilted-object.svg,M07 tilted object,tilted,0 0 160 120,"80,110 (M01-M07); see local manifest for M08-M14",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M07-ui-icon.svg,M07 ui icon,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M01-M07/M07-world-marker.svg,M07 world marker,both,0 0 64 80,"32,77",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M08-tilted-object.svg,M08 tilted object,tilted,0 0 160 128,"80,110 (M01-M07); see local manifest for M08-M14",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M08-ui-icon.svg,M08 ui icon,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M08-world-marker.svg,M08 world marker,both,0 0 64 80,"32,77",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M09-tilted-object.svg,M09 tilted object,tilted,0 0 160 128,"80,110 (M01-M07); see local manifest for M08-M14",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M09-ui-icon.svg,M09 ui icon,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M09-world-marker.svg,M09 world marker,both,0 0 64 80,"32,77",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M10-tilted-object.svg,M10 tilted object,tilted,0 0 160 128,"80,110 (M01-M07); see local manifest for M08-M14",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M10-ui-icon.svg,M10 ui icon,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M10-world-marker.svg,M10 world marker,both,0 0 64 80,"32,77",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M11-tilted-object.svg,M11 tilted object,tilted,0 0 160 128,"80,110 (M01-M07); see local manifest for M08-M14",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M11-ui-icon.svg,M11 ui icon,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M11-world-marker.svg,M11 world marker,both,0 0 64 80,"32,77",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M12-tilted-object.svg,M12 tilted object,tilted,0 0 160 128,"80,110 (M01-M07); see local manifest for M08-M14",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M12-ui-icon.svg,M12 ui icon,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M12-world-marker.svg,M12 world marker,both,0 0 64 80,"32,77",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M13-tilted-object.svg,M13 tilted object,tilted,0 0 160 128,"80,110 (M01-M07); see local manifest for M08-M14",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M13-ui-icon.svg,M13 ui icon,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M13-world-marker.svg,M13 world marker,both,0 0 64 80,"32,77",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M14-tilted-object.svg,M14 tilted object,tilted,0 0 160 128,"80,110 (M01-M07); see local manifest for M08-M14",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M14-ui-icon.svg,M14 ui icon,both,0 0 64 64,center,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/policies/M08-M14/M14-world-marker.svg,M14 world marker,both,0 0 64 80,"32,77",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/style/palette.svg,palette,both,0 0 800 380,n/a,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/style/preview-style.svg,preview style,both,0 0 1540 615,n/a,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/style/scene-tilted.svg,scene tilted,tilted,0 0 800 480,n/a,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/style/scene-top.svg,scene top,top,0 0 640 480,n/a,Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/units/vehicles/bus-pair.png,bus pair,both,1774x887,"top 128,128; tilted 128,240 per 256px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/units/vehicles/car-pair.png,car pair,both,1774x887,"top 128,128; tilted 128,240 per 256px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/units/vehicles/lrt-pair.png,lrt pair,both,1774x887,"top 128,128; tilted 128,240 per 256px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/units/vehicles/service-van-pair.png,service van pair,both,1774x887,"top 128,128; tilted 128,240 per 256px frame",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/bench-tilted.svg,bench tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/bench-top.svg,bench top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/bridge-tilted.svg,bridge tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/bridge-top.svg,bridge top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/apartment-block-tilted.svg,apartment block tilted,tilted,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/apartment-block-top.svg,apartment block top,top,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/bus-stop-tilted.svg,bus stop tilted,tilted,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/bus-stop-top.svg,bus stop top,top,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/clinic-tilted.svg,clinic tilted,tilted,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/clinic-top.svg,clinic top,top,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/lrt-station-track-tilted.svg,lrt station track tilted,tilted,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/lrt-station-track-top.svg,lrt station track top,top,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/office-civic-tilted.svg,office civic tilted,tilted,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/office-civic-top.svg,office civic top,top,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/residential-house-tilted.svg,residential house tilted,tilted,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/residential-house-top.svg,residential house top,top,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/school-kindergarten-tilted.svg,school kindergarten tilted,tilted,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/school-kindergarten-top.svg,school kindergarten top,top,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/sports-court-tilted.svg,sports court tilted,tilted,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/sports-court-top.svg,sports court top,top,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/utility-cue-tilted.svg,utility cue tilted,tilted,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/buildings/utility-cue-top.svg,utility cue top,top,0 0 128 128,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/bus-lane-tilted.svg,bus lane tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/bus-lane-top.svg,bus lane top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/crosswalk-tilted.svg,crosswalk tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/crosswalk-top.svg,crosswalk top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/ground-grass-tilted.svg,ground grass tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/ground-grass-top.svg,ground grass top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/ground-terrain-tilted.svg,ground terrain tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/ground-terrain-top.svg,ground terrain top,top,0 0 256 256,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
sources/world/park-tilted.svg,park tilted,tilted,0 0 320 218,"top 128,128; tilted 160,148; see local manifest",Original project artwork; editable source under sources/,Project-owned; redistribution license not specified,final
